[2014-07-14 13:45:35.356] [DEBUG] normal - 2014-07-14 13:45:35.356 ::1 -- GET /images/client.png HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-14 13:46:10.677] [DEBUG] normal - 2014-07-14 13:46:10.677 ::1 -- GET /m/images/favicon.ico HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:04.530] [DEBUG] normal - 2014-07-16 10:21:04.529 ::1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:13.505] [DEBUG] normal - 2014-07-16 10:21:13.505 ::1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:13.725] [DEBUG] normal - 2014-07-16 10:21:13.725 ::1 -- GET /m/js/lib/gmu/gmu.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:13.753] [DEBUG] normal - 2014-07-16 10:21:13.753 ::1 -- GET /m/css/main.css HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:13.800] [DEBUG] normal - 2014-07-16 10:21:13.800 ::1 -- GET /m/js/require.js HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:21:13.960] [DEBUG] normal - 2014-07-16 10:21:13.960 ::1 -- GET /m/images/favicon.ico HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:45:30.668] [DEBUG] normal - 2014-07-16 10:45:30.668 ::ffff:127.0.0.1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
[2014-07-16 10:45:36.240] [DEBUG] normal - 2014-07-16 10:45:36.240 ::ffff:127.0.0.1 -- GET / HTTP/1.1, null Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
